연번,지역,지역 시군구,센터명,사업자 구분,지정일,주력보육분야,주소,특화분야,입주기업 전체 개수,보육실 전체 개수,입주율,센터등급
246,전라북도,정읍시,전북과학대학교창업보육센터,대학,2000-04-27,"메카트로닉스, 농생명, 문화관광, 정보통신",56204전라북도 정읍시 정읍사로 509(시기동),특화BI ,17,21,100.0,70점 이상
247,전라북도,전주시,전북대창업보육센터,대학,1998-06-22,"전기전자 메카트로닉스. 식품생물, 녹색 신성장동력",54896전라북도 전주시 덕진구 백제대로 567(금암동),녹색성장,61,83,97.1,70점 이상
248,전라북도,전주시,전주대학교 창업보육센터,대학,1999-08-05,"IT, BT, CT","55069전라북도 전주시 완산구 천잠로 303, 벤처창업관 (효자동2가)벤처창업관",문화컨텐츠,55,102,71.6,70점 이상
249,전라북도,전주시,전주비전대학교창업보육센터,대학,2001-03-12,"전기, 전자, 신재생에너지","55069전라북도 전주시 완산구 천잠로 235, 실습동 212호 , 전주비전대학교 창업보육센터 (효자동2가)실습동 212호 , 전주비전대학교 창업보육센터",특화BI ,28,42,80.5,70점 이상
250,전라북도,전주시,탄소융합부품소재창업보육센터,정부·지자체,2012-04-30,"탄소융합부품소재, 탄소복합소재","54853전라북도 전주시 덕진구 원만성로 106, 탄소융합부품소재 창업보육센터 (팔복동2가)탄소융합부품소재 창업보육센터",특화BI ,17,34,66.7,70점 미만
251,전라북도,전주시,한국농수산대학교 창업보육센터,대학,2001-03-12,"농생명 ICT, 스마트팜, 농수산물 가공 및 연구개발, 관련분야 전후방산업","54874전라북도 전주시 덕진구 콩쥐팥쥐로 1515, 한국농수산대학교 창업보육센터 (중동)한국농수산대학교 창업보육센터",농업,20,20,100.0,70점 이상
252,전라북도,군산시,호원대학교창업보육센터,대학,1999-08-26,"IoT융합,부품,센서",54058전라북도 군산시 임피면 호원대3길 64호원대학교 산학협력관 301호 창업보육센터,특화BI ,13,15,89.0,70점 이상
253,전라북도,전주시,희망전북 POST-BI,정부·지자체,2009-04-21,"광, 기계, 전자",54882전라북도 전주시 덕진구 상리1길 34(팔복동2가),특화BI ,15,22,84.6,70점 이상
254,제주특별자치도,제주시,제주관광대학창업보육센터,대학,2001-03-12,"청정헬스푸드형 식품기업및 향장품, 디자인,영상, 4차산업(IOT)",63063제주특별자치도 제주시 애월읍 평화로 2715창업보육센터,특화BI ,20,23,88.7,70점 이상
255,제주특별자치도,제주시,제주국제대학교창업보육센터,대학,2000-04-27,"신항공산업, 지능형관관컨텐츠, 스마트그리드, 정보통신, 4차산업혁명기업",63309제주특별자치도 제주시 516로 2870(영평동)제주국제대학교,특화BI ,19,19,100.0,70점 이상
256,제주특별자치도,제주시,제주대학교 창업보육센터,대학,1998-06-22,바이오/환경,63169제주특별자치도 제주시 중앙로14길 21제주대학교 창업보육센터터 2층 행정실 (삼도이동),지역특화,42,65,68.6,70점 이상
257,제주특별자치도,제주시,제주한라대학교창업보육센터,대학,2002-03-20,정보기술  및 생명공학,"63092제주특별자치도 제주시 한라대학로 38, 노형동 (노형동)노형동",특화BI ,9,17,100.0,70점 이상
